Participant	Block	Trial	Stimulus	Condition	CorrectResp	Code_CorrResp	Response_Code	Response_Time
4	2	34	<<><<	incongruent	right	3	3	758
4	2	35	-->--	neutral	right	3	3	516
4	2	36	<<<<<	congruent	left	2	2	561
4	2	37	-->--	neutral	right	3	3	568
4	2	38	<<<<<	congruent	left	2	2	715
4	2	39	<<<<<	congruent	left	2	2	529
4	2	40	>><>>	incongruent	left	2	2	716
4	2	41	>><>>	incongruent	left	2	2	671
4	2	42	--<--	neutral	left	2	2	509
4	2	43	>><>>	incongruent	left	2	2	616
4	2	44	<<><<	incongruent	right	3	3	726
4	2	45	>>>>>	congruent	right	3	3	557
4	2	46	-->--	neutral	right	3	3	547
4	2	47	<<<<<	congruent	left	2	2	692
4	2	48	--<--	neutral	left	2	2	629
4	2	49	<<><<	incongruent	right	3	3	647
4	2	50	>>>>>	congruent	right	3	3	481
4	2	51	-->--	neutral	right	3	3	474
4	2	52	<<<<<	congruent	left	2	2	653
4	2	53	>><>>	incongruent	left	2	2	832
4	2	54	--<--	neutral	left	2	2	542
4	2	55	<<<<<	congruent	left	2	2	559
4	2	56	-->--	neutral	right	3	3	457
4	2	57	<<<<<	congruent	left	2	2	586
4	2	58	--<--	neutral	left	2	2	551
4	2	59	>>>>>	congruent	right	3	3	524
4	2	60	-->--	neutral	right	3	3	493
4	2	61	>><>>	incongruent	left	2	2	1161
4	2	62	<<><<	incongruent	right	3	3	522
4	2	63	<<><<	incongruent	right	3	3	569
4	2	64	>>>>>	congruent	right	3	3	497
4	2	65	--<--	neutral	left	2	2	556
4	2	66	>><>>	incongruent	left	2	2	748
4	2	67	>>>>>	congruent	right	3	3	569
4	2	68	>>>>>	congruent	right	3	3	529
4	2	69	>>>>>	congruent	right	3	3	483
4	2	70	<<><<	incongruent	right	3	3	647
4	2	71	>>>>>	congruent	right	3	3	512
4	2	72	<<><<	incongruent	right	3	3	681
5	1	1	--<--	neutral	left	2	2	426
5	1	2	-->--	neutral	right	3	3	363
5	1	3	>>>>>	congruent	right	3	3	492
5	1	4	>>>>>	congruent	right	3	3	503
5	1	5	<<><<	incongruent	right	3	3	624
5	1	6	>>>>>	congruent	right	3	3	515
5	1	7	>>>>>	congruent	right	3	3	435
5	1	8	>><>>	incongruent	left	2	2	623
5	1	9	<<<<<	congruent	left	2	2	592
5	1	10	<<><<	incongruent	right	3	3	494
5	1	11	>><>>	incongruent	left	2	2	553
5	1	12	<<<<<	congruent	left	2	2	432
5	1	13	<<<<<	congruent	left	2	2	416
